id,week,arrest,fin,age,wexp,mar,paro,prio,educ
59,52,0,2,20,2,2,2,0,3
60,52,0,2,42,2,2,1,9,4
61,6,1,1,19,1,2,1,6,3
62,52,0,1,22,2,2,1,2,4
63,52,0,1,22,1,2,2,5,4
64,52,0,1,36,1,2,1,11,3
65,52,1,1,23,2,2,1,2,4
66,52,0,2,27,2,2,2,3,3
67,52,0,2,21,1,2,2,1,3
68,52,0,2,22,2,2,2,2,3
69,49,1,1,35,2,2,2,3,2
70,52,0,1,21,2,2,2,4,3
71,52,0,2,25,2,2,2,5,3
72,52,0,1,18,1,2,2,0,3
73,52,0,2,26,2,2,2,2,4
74,52,0,1,30,2,2,1,4,2
75,52,0,1,20,1,2,2,2,4
76,52,0,2,43,2,2,2,1,4
77,43,1,1,23,2,1,2,4,3
78,52,0,1,42,2,2,1,2,6
79,52,0,1,21,1,2,1,2,3
80,5,1,1,19,1,2,1,3,3
81,27,1,1,29,1,2,1,4,3
82,52,0,1,30,2,2,2,3,2
83,52,0,2,21,2,1,2,10,3
84,52,0,1,20,1,2,2,7,3
85,22,1,2,19,1,2,2,10,3
86,52,0,2,22,2,2,2,1,5
87,52,0,1,25,1,2,2,3,3
88,18,1,1,22,1,2,1,4,4
89,52,0,2,22,2,2,2,4,3
90,52,0,2,24,1,2,2,2,4
91,52,0,1,39,2,1,2,4,3
92,52,0,1,21,2,2,2,1,3
93,52,0,2,20,2,2,2,2,3
94,52,0,2,24,1,2,1,1,3
95,52,0,1,25,2,2,2,2,6
96,24,1,2,21,2,2,1,4,3
97,52,0,2,20,1,2,2,1,3
98,52,0,2,19,1,2,2,3,4
99,52,0,2,24,1,2,1,2,4
100,52,0,2,24,2,2,2,1,4
101,2,1,1,44,2,2,2,2,5
102,26,1,1,32,2,2,1,2,4
103,52,0,1,23,2,2,1,3,3
104,49,1,2,19,1,2,2,1,4
105,52,0,1,20,1,2,2,1,3
106,21,1,1,27,2,2,2,0,3
107,48,1,1,19,1,2,1,6,3
108,52,0,2,21,2,2,1,1,3
109,52,0,1,20,1,2,2,1,4
110,52,0,1,25,1,2,2,3,2
111,52,0,1,20,1,2,2,6,3
112,52,0,2,23,2,2,2,3,4
113,52,0,1,20,1,2,1,2,3
114,52,0,2,30,2,2,1,1,4
115,52,0,1,25,2,1,2,0,4
116,52,0,1,22,2,2,2,1,3
117,52,0,1,24,2,2,2,3,3
118,52,0,2,18,1,2,1,4,3
119,8,1,2,40,2,2,2,1,5
120,52,0,1,22,1,2,2,1,5
121,52,0,2,23,1,2,2,6,3
122,49,1,1,21,2,2,2,1,3
123,52,0,2,24,2,1,2,2,3
124,52,0,2,24,1,2,2,14,3
125,52,0,1,38,2,2,2,2,3
126,52,0,1,26,2,2,1,3,3
127,52,0,2,29,2,2,1,1,3
128,52,0,1,21,1,2,2,8,3
129,52,0,2,21,2,1,2,2,4
130,52,0,1,22,1,2,2,4,3
131,8,1,1,23,1,2,2,5,3
132,52,0,1,27,2,2,1,2,4
133,52,0,2,18,1,2,2,2,3
134,13,1,1,23,1,2,1,5,3
135,52,0,2,24,1,2,2,2,3
136,52,0,2,21,1,2,1,3,4
137,52,0,2,20,1,2,2,4,2
138,52,0,2,27,2,2,1,4,3
139,8,1,2,20,1,2,2,11,4
140,52,0,2,29,2,1,2,5,4
141,33,1,1,19,1,2,1,10,4
142,52,0,1,20,1,2,1,8,3
143,52,0,2,18,1,2,2,0,3
144,11,1,2,19,1,2,2,2,3
145,52,0,2,24,2,2,2,1,5
146,52,0,1,28,2,2,2,4,3
147,52,0,2,26,1,2,1,4,3
148,52,0,2,17,1,2,2,0,3
149,52,0,1,21,1,2,2,3,3
150,37,1,1,34,2,2,1,2,3
151,52,0,2,26,2,2,1,1,4
152,52,0,2,43,2,2,2,2,6
153,52,0,1,20,1,2,2,0,4
154,44,1,1,20,2,2,2,1,3
155,52,0,1,32,2,2,2,1,4
156,52,1,1,25,2,2,2,1,3
157,52,0,2,22,1,2,2,1,3
158,52,0,2,31,2,2,2,1,3
159,52,0,2,42,2,1,2,4,3
160,52,0,2,32,2,2,1,10,3
161,52,0,2,20,1,2,1,8,3
162,52,0,1,20,1,2,1,1,3
163,52,0,2,36,1,2,2,8,3
164,52,0,2,34,2,2,2,2,3
165,52,0,2,28,2,1,2,3,2
166,52,0,2,21,2,2,2,2,3
167,52,0,1,18,1,2,2,6,3
168,52,0,2,20,1,2,2,4,3
169,52,0,1,17,1,2,2,3,2
170,52,0,2,44,1,2,2,3,2
171,52,0,2,30,2,2,2,5,4
172,52,0,2,22,1,2,1,11,3
173,9,1,2,30,1,2,1,3,4
174,17,1,1,23,1,2,1,8,3
175,52,0,2,20,2,2,1,2,4
176,52,0,1,19,1,2,1,10,2
177,52,0,2,21,1,2,2,1,4
178,52,0,2,22,1,2,2,6,6
179,52,0,2,19,1,2,2,2,3
180,52,0,2,21,1,2,1,10,3
181,16,1,1,38,1,2,2,3,3
182,52,0,2,24,1,2,1,7,4
183,52,0,2,39,2,1,1,2,5
184,3,1,1,30,1,2,2,3,3
185,52,0,1,37,2,2,1,0,2
186,52,0,2,23,1,2,2,2,6
187,52,0,1,21,1,2,2,1,3
188,52,0,2,31,2,2,2,1,3
189,52,0,2,24,1,2,1,13,4
190,52,0,1,31,2,1,2,3,3
191,52,0,1,24,1,2,2,2,5
192,52,0,2,24,2,2,2,1,6
193,52,0,2,21,2,2,1,1,3
194,52,0,2,22,1,2,1,2,3
195,45,1,1,20,1,2,2,5,3
196,52,0,2,21,2,2,2,0,4
197,52,0,2,24,2,2,2,2,3
198,52,0,1,25,2,2,2,1,3
199,52,0,1,19,1,2,2,1,3
200,52,0,1,20,1,2,1,2,3
201,52,0,1,20,2,2,2,4,3
202,28,1,1,24,2,2,1,1,4
203,52,0,2,18,1,2,1,4,3
204,16,1,2,28,1,2,2,5,3
205,15,1,2,19,1,2,1,4,3
206,52,0,1,19,2,2,1,1,4
207,52,0,1,25,2,1,1,0,4
208,52,0,2,19,1,2,1,1,3
209,52,0,2,25,1,2,1,2,6
210,14,1,1,24,1,2,1,0,3
211,52,0,2,20,2,2,2,1,4
212,52,0,2,30,1,2,2,1,3
213,52,0,1,29,2,2,2,4,4
214,52,0,1,28,2,1,2,4,3
215,52,0,2,36,1,2,2,1,3
216,52,0,2,23,2,2,1,7,3
217,52,0,2,23,1,2,1,2,6
218,52,0,1,24,2,2,2,4,3
219,52,0,1,29,2,1,2,1,3
220,52,0,1,26,2,1,2,2,3
221,52,0,1,39,2,1,1,3,3
222,52,0,2,20,2,2,2,1,3
223,52,0,1,23,2,2,2,3,4
224,52,0,2,21,2,2,2,2,4
225,52,0,2,21,1,2,2,1,3
226,7,1,2,20,1,2,2,2,3
227,52,0,2,20,1,2,2,3,3
228,52,0,2,27,2,2,2,2,3
229,43,1,1,18,2,2,1,3,3
230,46,1,2,25,2,2,1,1,4
231,40,1,2,20,1,2,1,6,3
232,52,0,2,20,2,2,1,5,5
233,14,1,1,20,1,2,1,7,3
234,52,0,1,24,2,1,1,11,3
235,52,0,2,23,1,2,1,1,3
236,8,1,1,28,2,2,1,4,4
237,52,0,1,21,1,2,1,2,4
238,52,0,1,25,1,2,1,1,3
239,52,0,1,24,2,2,2,1,4
240,52,0,1,29,2,1,1,3,5
241,52,0,1,22,2,1,2,2,4
242,25,1,1,28,1,2,2,18,3
243,52,0,1,19,1,2,2,1,4
244,52,0,1,20,2,2,2,1,5
245,17,1,1,20,1,2,2,5,3
246,37,1,2,22,2,2,2,1,3
247,52,0,1,20,1,2,2,8,3
248,52,0,2,21,1,2,2,2,4
249,52,0,2,21,2,2,2,1,4
250,32,1,1,19,1,2,2,3,3
251,52,0,1,26,2,2,2,1,2
252,52,0,1,23,2,1,2,2,3
253,52,0,2,22,2,2,2,4,3
254,52,0,2,24,2,2,1,8,4
255,52,0,2,40,1,2,1,5,2
256,52,0,2,32,1,2,1,2,3
257,52,0,1,38,2,2,1,0,4
258,52,0,1,26,2,2,2,1,3
259,12,1,2,27,2,2,2,0,5
260,52,0,1,29,2,1,2,3,4
261,18,1,1,20,2,2,2,4,4
262,52,0,1,22,1,2,1,1,3
263,52,0,1,22,1,2,1,5,4
264,14,1,2,19,2,2,1,12,4
265,52,0,1,22,2,2,1,1,3
266,52,0,1,19,1,2,1,3,3
267,52,0,2,32,2,2,1,1,3
268,52,0,2,25,2,2,2,2,4
269,38,1,1,21,1,2,2,2,2
270,52,0,2,36,2,2,2,1,2
271,24,1,1,40,2,2,1,2,2
272,20,1,2,20,1,2,2,1,3
273,32,1,2,19,1,2,2,0,4
274,52,0,1,18,1,2,2,4,4
275,52,0,2,28,2,2,1,0,4
276,52,0,2,22,2,2,1,2,4
277,52,0,2,25,1,2,2,1,5
278,52,0,2,28,2,2,1,2,3
279,52,0,2,25,2,2,1,2,3
280,52,0,2,20,2,2,1,4,5
281,52,0,2,24,1,2,1,5,3
282,52,0,1,24,2,2,1,0,4
283,52,0,2,36,2,2,2,2,4
284,52,0,2,34,2,2,1,1,5
285,31,1,1,19,2,2,2,5,3
286,20,1,2,23,1,2,2,1,3
287,40,1,1,19,2,2,2,3,3
288,52,0,2,40,2,2,1,2,4
289,52,0,2,31,2,2,1,2,4
290,52,0,1,23,2,1,2,0,4
291,52,0,1,42,1,2,2,2,3
292,42,1,2,26,2,1,2,1,6
293,52,0,1,20,1,2,2,9,3
294,26,1,1,27,2,2,2,1,5
295,52,0,2,24,1,2,1,5,3
296,52,0,1,25,1,2,1,2,5
297,52,0,2,22,2,2,2,3,4
298,52,0,2,20,1,2,2,2,4
299,52,0,2,20,2,2,2,2,4
300,47,1,1,22,1,2,2,3,3
301,52,0,1,18,2,2,2,1,4
302,52,0,1,20,2,2,2,2,3
303,40,1,1,20,2,2,2,1,3
304,52,0,1,22,2,2,2,2,4
305,52,0,2,30,2,1,1,2,3
306,52,0,1,36,2,2,1,1,5
307,52,0,1,25,2,1,2,5,3
308,21,1,1,29,1,2,2,3,2
309,52,0,1,19,2,2,2,3,4
310,52,0,2,24,2,2,2,2,3
311,52,0,2,21,1,2,1,0,3
312,52,0,2,35,2,2,2,6,3
313,52,0,2,19,2,2,1,4,3
314,1,1,1,20,1,2,1,0,3
315,43,1,1,22,1,2,1,3,3
316,24,1,1,23,2,2,1,1,3
317,11,1,1,19,1,2,1,18,4
318,52,0,1,18,1,2,2,3,3
319,52,0,2,38,2,2,2,2,3
320,52,0,2,18,1,2,2,6,4
321,52,0,1,22,2,1,2,1,4
322,33,1,1,21,1,2,2,3,3
323,52,0,1,21,2,2,2,1,4
324,46,1,2,21,1,2,2,5,3
325,36,1,2,17,1,2,2,3,3
326,52,0,2,22,2,2,2,1,4
327,52,0,2,23,2,1,2,0,5
328,18,1,2,19,1,2,2,4,3
329,52,0,2,21,2,2,1,1,4
330,52,0,2,35,2,2,1,5,3
331,50,1,1,23,2,2,1,8,3
332,52,0,2,22,1,2,1,2,4
333,34,1,2,25,1,2,1,11,3
334,52,0,2,20,2,2,1,4,3
335,35,1,2,19,1,2,1,1,3
336,52,0,1,20,1,2,1,1,5
337,52,0,2,41,2,1,2,3,2
338,39,1,1,23,2,2,2,4,3
339,9,1,2,26,2,2,1,0,3
340,52,0,1,26,1,2,1,2,3
341,52,0,2,38,2,2,2,1,4
342,52,0,1,27,2,2,2,1,5
343,34,1,2,19,1,2,2,3,3
344,52,0,1,25,2,2,1,1,2
345,52,0,2,30,2,2,1,2,3
346,52,0,2,42,2,2,1,1,5
347,44,1,1,20,2,2,2,2,3
348,52,0,2,23,2,2,2,1,4
349,52,0,1,21,1,2,2,3,3
350,35,1,2,20,2,2,1,3,3
351,30,1,1,17,1,2,1,1,4
352,39,1,2,26,1,1,1,5,3
353,52,0,2,24,2,2,2,1,3
354,52,0,1,37,2,1,2,1,3
355,52,0,1,28,2,1,2,1,6
356,52,0,1,33,2,2,2,0,4
357,19,1,2,22,1,2,2,4,3
358,52,0,1,25,2,1,2,2,5
359,43,1,1,20,1,1,1,10,3
360,52,0,1,20,1,2,1,1,4
361,48,1,2,24,2,2,1,4,3
362,37,1,2,26,1,2,1,11,5
363,20,1,2,26,2,2,2,1,4
364,52,0,1,25,2,2,2,1,6
365,52,0,1,26,2,2,2,1,4
366,36,1,2,23,1,2,1,3,3
367,52,0,2,28,1,2,2,4,3
368,52,0,1,27,2,2,2,0,5
369,52,0,2,23,1,2,1,3,4
370,52,0,1,17,1,2,2,7,3
371,52,0,1,20,1,2,2,4,5
372,52,0,2,20,1,2,2,5,3
373,52,0,2,20,1,2,2,9,3
374,30,1,2,22,2,2,2,2,4
375,52,0,1,31,1,2,2,1,3
376,52,0,1,43,2,2,1,1,5
377,52,0,1,29,2,2,1,1,4
378,52,0,2,21,1,2,1,0,4
379,52,0,1,24,2,2,1,2,3
380,52,0,2,30,2,1,1,3,4
381,52,0,1,22,2,2,1,0,5
382,52,0,2,26,2,1,1,1,4
383,42,1,2,20,2,2,1,0,3
384,52,0,1,23,2,2,1,6,4
385,52,0,1,25,2,2,2,5,3
386,52,0,2,40,2,2,2,2,5
387,52,0,2,30,2,1,2,0,3
388,26,1,1,22,1,1,2,2,3
389,40,1,1,18,1,2,2,2,4
390,52,0,1,18,1,2,2,0,2
391,52,0,1,24,2,2,2,2,5
392,52,0,2,25,2,1,2,2,5
393,35,1,2,19,1,2,2,2,3
394,52,0,1,24,2,2,2,2,3
395,46,1,1,24,1,1,2,2,3
396,52,0,1,18,2,2,2,3,5
397,49,1,2,18,2,2,2,0,4
398,52,0,1,23,2,2,1,0,3
399,52,0,1,20,1,2,2,2,3
400,49,1,2,18,2,2,2,1,3
401,52,0,1,23,2,2,2,2,5
402,52,0,2,20,1,2,2,1,3
403,52,0,1,23,1,2,1,5,3
404,52,0,1,23,2,2,2,1,4
405,52,0,1,23,2,1,2,2,3
406,35,1,1,20,2,2,2,4,3
407,52,0,2,26,2,1,1,4,2
408,52,0,2,30,1,2,1,1,3
409,52,0,2,36,2,2,1,4,3
410,52,0,2,43,2,2,1,4,3
411,27,1,1,20,2,2,1,1,3
412,52,0,2,24,2,2,2,1,3
413,52,0,1,22,2,2,1,1,2
414,52,0,2,20,1,1,1,1,3
415,52,1,1,21,1,2,1,0,3
416,45,1,2,18,1,2,1,5,3
417,4,1,1,18,2,2,1,1,4
418,52,1,1,33,2,2,2,2,4
419,36,1,2,19,1,2,2,2,3
420,52,0,2,21,2,2,2,1,5
421,52,0,2,21,1,2,2,1,4
422,8,1,2,21,2,2,2,4,3
423,15,1,2,22,1,2,2,3,4
424,52,0,1,18,1,2,2,3,3
425,19,1,1,18,1,2,1,2,3
426,52,0,1,24,2,2,2,2,4
427,12,1,2,22,2,1,2,2,4
428,52,0,2,31,2,2,2,3,3
429,52,0,1,20,1,2,2,1,4
430,52,0,2,20,2,1,2,1,3
431,52,0,1,29,2,2,2,3,4
432,52,0,2,24,2,2,2,1,4
